TCGA-02-0001-01C-01	TCGA-02-0002-01A-01	TCGA-02-0003-01A-01	TCGA-02-0004-01A-01	TCGA-02-0006-01B-01	TCGA-02-0007-01A-01	TCGA-02-0009-01A-01	TCGA-02-0010-01A-01	TCGA-02-0011-01B-01	TCGA-02-0014-01A-01	TCGA-02-0015-01A-01	TCGA-02-0016-01A-01	TCGA-02-0021-01A-01	TCGA-02-0023-01B-01	TCGA-02-0024-01B-01	TCGA-02-0025-01A-01	TCGA-02-0026-01B-01	TCGA-02-0027-01A-01	TCGA-02-0028-01A-01	TCGA-02-0033-01A-01	TCGA-02-0034-01A-01	TCGA-02-0037-01A-01	TCGA-02-0038-01A-01	TCGA-02-0039-01A-01	TCGA-02-0043-01A-01	TCGA-02-0046-01A-01	TCGA-02-0047-01A-01	TCGA-02-0048-01A-01	TCGA-02-0051-01A-01	TCGA-02-0052-01A-01	TCGA-02-0054-01A-01	TCGA-02-0055-01A-01	TCGA-02-0057-01A-01	TCGA-02-0058-01A-01	TCGA-02-0059-01A-01	TCGA-02-0060-01A-01	TCGA-02-0064-01A-01	TCGA-02-0068-01A-01	TCGA-02-0069-01A-01	TCGA-02-0070-01A-01	TCGA-02-0071-01A-01	TCGA-02-0074-01A-01	TCGA-02-0075-01A-01	TCGA-02-0079-01A-03	TCGA-02-0080-01A-01	TCGA-02-0083-01A-01	TCGA-02-0084-01A-03	TCGA-02-0085-01A-01	TCGA-02-0086-01A-01	TCGA-02-0087-01A-01	TCGA-02-0089-01A-01	TCGA-02-0099-01A-01	TCGA-02-0102-01A-01	TCGA-02-0104-01A-01	TCGA-02-0106-01A-01	TCGA-02-0107-01A-01	TCGA-02-0111-01A-01	TCGA-02-0113-01A-01	TCGA-02-0114-01A-01	TCGA-02-0115-01A-01	TCGA-02-0260-01A-03	TCGA-02-0266-01A-01	TCGA-02-0269-01B-01	TCGA-02-0271-01A-01	TCGA-02-0281-01A-01	TCGA-02-0285-01A-01	TCGA-02-0289-01A-01	TCGA-02-0290-01A-01	TCGA-02-0317-01A-01	TCGA-02-0321-01A-01	TCGA-02-0325-01A-01	TCGA-02-0326-01A-01	TCGA-02-0330-01A-01	TCGA-02-0332-01A-01	TCGA-02-0333-01A-02	TCGA-02-0337-01A-01	TCGA-02-0338-01A-01	TCGA-02-0339-01A-01	TCGA-02-0422-01A-01	TCGA-02-0430-01A-01	TCGA-02-0432-01A-02	TCGA-02-0439-01A-01	TCGA-02-0440-01A-01	TCGA-02-0446-01A-01	TCGA-02-0451-01A-01	TCGA-06-0122-01A-01	TCGA-06-0124-01A-01	TCGA-06-0125-01A-01	TCGA-06-0126-01A-01	TCGA-06-0127-01A-01	TCGA-06-0128-01A-01	TCGA-06-0129-01A-01	TCGA-06-0130-01A-01	TCGA-06-0132-01A-02	TCGA-06-0133-01A-02	TCGA-06-0137-01A-03	TCGA-06-0138-01A-02	TCGA-06-0139-01A-01	TCGA-06-0143-01A-01	TCGA-06-0145-01A-04	TCGA-06-0146-01A-01	TCGA-06-0147-01A-01	TCGA-06-0148-01A-01	TCGA-06-0149-01A-05	TCGA-06-0152-01A-02	TCGA-06-0154-01A-02	TCGA-06-0156-01A-01	TCGA-06-0157-01A-01	TCGA-06-0158-01A-01	TCGA-06-0160-01A-01	TCGA-06-0162-01A-01	TCGA-06-0164-01A-01	TCGA-06-0166-01A-01	TCGA-06-0167-01A-01	TCGA-06-0168-01A-01	TCGA-06-0171-01A-02	TCGA-06-0173-01A-01	TCGA-06-0174-01A-01	TCGA-06-0175-01A-01	TCGA-06-0176-01A-03	TCGA-06-0177-01A-01	TCGA-06-0178-01A-01	TCGA-06-0179-01A-02	TCGA-06-0182-01A-01	TCGA-06-0184-01A-01	TCGA-06-0185-01A-01	TCGA-06-0187-01A-01	TCGA-06-0188-01A-01	TCGA-06-0189-01A-05	TCGA-06-0190-01A-01	TCGA-06-0194-01A-01	TCGA-06-0195-01B-01	TCGA-06-0197-01A-02	TCGA-06-0208-01B-01	TCGA-06-0210-01A-01	TCGA-06-0211-01B-01	TCGA-06-0214-01A-02	TCGA-06-0219-01A-01	TCGA-06-0221-01A-01	TCGA-06-0237-01A-02	TCGA-06-0238-01A-02	TCGA-06-0240-01A-02	TCGA-06-0241-01A-02	TCGA-06-0394-01A-01	TCGA-06-0397-01A-01	TCGA-06-0402-01A-01	TCGA-06-0409-01A-02	TCGA-06-0410-01A-01	TCGA-06-0412-01A-01	TCGA-06-0413-01A-01	TCGA-06-0414-01A-01	TCGA-06-0644-01A-02	TCGA-06-0645-01A-01	TCGA-06-0646-01A-01	TCGA-06-0648-01A-01	TCGA-08-0244-01A-01	TCGA-08-0245-01A-01	TCGA-08-0246-01A-01	TCGA-08-0344-01A-01	TCGA-08-0345-01A-01	TCGA-08-0346-01A-01	TCGA-08-0347-01A-01	TCGA-08-0348-01A-01	TCGA-08-0349-01A-01	TCGA-08-0350-01A-01	TCGA-08-0351-01A-01	TCGA-08-0352-01A-01	TCGA-08-0353-01A-01	TCGA-08-0354-01A-01	TCGA-08-0355-01A-01	TCGA-08-0356-01A-01	TCGA-08-0357-01A-01	TCGA-08-0358-01A-01	TCGA-08-0359-01A-01	TCGA-08-0360-01A-01	TCGA-08-0375-01A-01	TCGA-08-0380-01A-01	TCGA-08-0385-01A-01	TCGA-08-0386-01A-01	TCGA-08-0389-01A-01	TCGA-08-0390-01A-01	TCGA-08-0392-01A-01	TCGA-08-0509-01A-01	TCGA-08-0510-01A-01	TCGA-08-0511-01A-01	TCGA-08-0512-01A-01	TCGA-08-0514-01A-01	TCGA-08-0516-01A-01	TCGA-08-0517-01A-01	TCGA-08-0518-01A-01	TCGA-08-0520-01A-01	TCGA-08-0521-01A-01	TCGA-08-0522-01A-01	TCGA-08-0524-01A-01	TCGA-08-0525-01A-01	TCGA-08-0529-01A-02	TCGA-08-0531-01A-01	TCGA-12-0615-01A-01	TCGA-12-0616-01A-01	TCGA-12-0618-01A-01	TCGA-12-0619-01A-01	TCGA-12-0620-01A-01
FSTL1	-0.66392	-0.21234	-0.28438	2.57283	0.9889	1.9823	-0.22892	-1.52133	-1.0212	-2.06326	0.90592	0.01616	0.04085	-0.45374	-1.1537	1.27544	-0.93525	-0.18617	-1.07032	0.03041	2.11965	0.86051	0.66649	0.42118	-0.06029	0.04638	0.9631	-0.51151	0.19698	0.08053	0.11531	0.88405	0.46052	-1.9895	0.45234	-0.77487	1.17527	1.85512	0.29692	0.64818	1.12635	-0.08112	0.37721	1.52493	-0.98748	-0.15628	-0.12576	1.2219	0.2983	-0.40449	0.88947	2.12427	1.682	-1.92774	0.40272	0.99329	-0.21729	-0.68707	-0.90146	-0.03587	-0.08741	-0.7853	0.40513	-0.33643	-0.40964	0.46107	0.25373	0.42235	-0.39517	0.15596	0.84626	-0.54871	-0.45323	-0.63017	0.08333	1.11787	-1.30006	-0.83576	0.05049	0.17395	-2.92885	0.26579	-0.94919	-0.35312	-0.72721	0.50413	0.41056	0.69779	-0.07196	-0.38632	-1.4799	-1.53037	1.55655	-0.02976	-0.21602	0.40189	0.73013	0.64021	0.25185	0.68925	-0.9062	0.83972	1.05106	0.4303	-0.42844	0.65439	0.0779	1.29436	0.82452	-2.18639	-1.171	1.07458	-0.10089	-2.24785	0.76737	-0.22029	0.44436	0.06292	0.32118	0.77353	-0.31734	-1.70585	-0.34255	-0.5978	0.01669	0.38346	1.09922	0.90573	1.19068	1.10237	0.16619	-0.55371	-0.32889	-0.3789	-0.14387	0.03402	-0.29949	-0.69533	-2.42918	0.13278	-1.16602	-2.3063	-0.51931	0.30249	-0.78665	0.3549	0.71886	-1.07314	0.32256	-0.48615	-0.78653	1.24831	0.47305	0.44847	-0.69384	-0.40742	-0.65333	0.52042	0.17218	0.961	-0.63672	0.3093	-0.45002	0.23775	0.20669	-1.55826	0.91642	-0.18675	-0.47519	1.13408	0.46998	0.06522	-1.18739	-0.65677	0.51527	-0.10771	0.49457	-0.72255	0.72906	-0.04266	-1.41018	-0.13052	0.35072	0.50141	0.85996	0.7203	-0.3529	-1.59869	-0.43561	0.11599	-0.08369	-0.97744	-0.01855	-1.41232	0.59395	0.59646	-0.04868	2.03175	-0.63852	-0.44462	0.98064	-0.19486
MMP2	-0.27716	-0.07873	1.00445	3.05396	0.19374	-1.80818	0.48973	0.60094	-2.06385	0.66888	0.33569	0.35837	1.76569	0.41764	0.94142	1.69902	-2.2016	0.7684	1.49526	-0.14271	2.28412	0.35521	0.32324	-0.86181	-0.17531	0.60876	0.14656	-0.04675	1.27142	-0.06793	0.03634	1.68087	0.22974	-1.28109	-0.66106	0.61075	0.02695	0.3558	0.60446	-0.16127	0.10652	0.3765	0.63516	-1.65373	-1.48047	1.16613	-0.21746	1.40262	-0.08155	-0.12448	0.47527	0.70702	1.02084	-2.80437	0.49907	1.09717	0.30847	-0.96527	0.47739	-1.01236	0.1277	0.66165	0.8624	-0.68288	0.07929	-0.18381	0.94227	-0.19246	0.03479	-1.41322	-1.2459	-0.31325	-1.23975	0.9136	0.1393	0.27268	0.54483	0.11362	1.38379	-0.14748	-0.73858	-0.22064	0.33468	0.1847	0.1303	-0.23813	0.30284	0.07952	0.53699	0.04347	-0.74351	-0.5907	1.58141	0.02683	-0.26519	0.24495	0.02871	0.59188	0.09184	2.195	-0.65307	0.54269	-0.51554	-0.53004	-0.83087	0.40077	0.09896	1.45705	0.08768	-2.11263	-1.18574	0.14131	0.5396	-1.87628	-0.00023	-0.50182	-0.90582	0.55017	-0.89929	0.70518	0.02557	-1.35553	-0.3633	1.09361	-0.29253	-0.42807	-0.50303	-0.44365	0.52795	0.64108	0.07375	-0.72096	-0.44321	0.35724	0.23109	1.25827	0.29545	-0.97664	-2.07504	-0.29336	-0.06973	-1.33473	0.93261	1.1139	0.20148	0.56242	-0.34669	0.28685	0.57918	0.42999	-0.49146	1.27176	0.07526	-0.14373	-0.01049	-0.24808	0.91231	0.72215	1.03029	-0.40709	0.11167	-0.14341	0.25982	0.12866	-0.53099	-1.42905	-0.54259	-0.05795	-0.95084	0.00067	0.72135	0.01274	-0.75834	-0.13712	-0.51606	-0.48326	-0.47383	-1.77583	-1.98324	0.41486	-0.81707	-1.6788	0.3052	0.54006	-0.53883	-0.1506	-0.97784	-0.56363	-0.64481	0.0954	-1.62089	-0.53577	1.5107	-0.0042	0.18342	-0.61952	0.18516	1.48587	0.57295	-0.76509	-0.87253	0.1906
BBOX1	0.79896	1.30398	0.19157	-0.29439	0.9383	0.58787	0.99977	-2.44385	0.09309	-3.11554	-0.31117	1.47281	0.9542	0.95196	-2.52206	-0.94923	-0.47011	-1.53927	-1.39558	-0.11987	-1.2726	-0.02605	1.70435	0.77346	0.17084	0.04352	-0.09647	-0.12565	-3.82539	-0.44803	1.73953	-0.99722	0.88693	0.93708	-1.86672	-2.28291	1.00521	1.31469	-4.05053	0.61135	1.06161	-1.45699	0.19159	-0.27673	0.67718	1.20796	-1.43095	0.48719	0.0606	-0.55903	1.84297	0.9824	1.82313	-1.79348	0.58861	1.42115	-0.01054	1.13589	-0.12355	1.40143	-0.31931	-0.91644	0.24674	0.60843	-2.17718	0.82213	1.31514	0.87637	0.77536	-0.02022	0.60924	-0.73502	0.6844	-1.12717	0.66081	-0.99296	-1.6999	-1.61586	0.49834	1.24557	-0.49464	0.7806	-1.39893	-0.23885	1.23471	0.49083	0.39036	0.61645	0.7549	0.82081	-0.49775	-0.95221	-2.3857	0.49428	1.67595	1.2537	0.74227	-2.11017	0.33723	1.26318	-0.6732	-1.27089	0.52507	1.41312	0.91042	-0.0366	-0.77504	0.70303	0.83441	-0.57903	1.38407	-0.63595	-1.58518	-0.4352	1.10494	0.41471	-0.31278	-0.22865	0.33061	-0.28333	-1.96921	-0.81589	1.03217	1.14415	0.34377	0.774	1.21379	0.99904	0.41323	0.33597	0.55052	-0.22971	-0.29731	0.88146	-0.19404	0.60273	0.49433	0.62025	-0.25848	0.77752	-1.76873	-0.06444	-1.26156	0.36666	-0.90301	-0.2195	1.50769	-1.78723	1.03352	-2.77293	-1.30036	-1.63362	0.38378	0.2135	-1.34922	1.59525	-1.27134	1.02716	-3.08879	0.52557	0.3491	0.92744	-0.68586	1.42552	-1.10961	1.38295	0.662	-0.0676	1.3365	1.29477	1.12238	1.05167	-0.22189	-0.23921	-0.29392	0.86587	1.18842	-1.89965	1.02933	0.09853	0.18046	-4.5312	0.70522	0.00482	1.41796	0.55457	0.90384	1.76969	1.17675	1.23495	1.21107	-0.04823	-2.32724	-3.87034	0.44561	1.51989	1.78665	-1.50149	-0.94892	-1.50187	-0.7305	-0.19634
GCSH	0.09005	0.70371	0.92115	-0.37828	0.49317	0.11215	0.14226	0.30331	0.50001	-0.03018	0.0554	0.47211	0.59383	-0.00448	0.10764	-1.89212	-0.47035	0.00151	0.59764	-0.04536	-0.83861	0.35676	0.43368	-0.42677	0.17991	0.67171	0.36096	0.92282	-1.25199	0.35237	0.83669	-0.65092	0.65035	0.80491	-0.8593	1.00358	-0.76825	0.46962	0.82363	-0.1027	0.26417	0.01391	-0.38144	-0.91325	0.50056	0.61058	-0.78505	-0.11165	0.07063	-0.49899	0.50323	0.22727	0.14361	-0.31553	-0.90701	0.01519	-0.2755	1.6299	-0.47693	0.8855	-0.37054	-0.30182	0.03046	-0.14127	-0.02099	0.06493	0.11982	-0.2782	-0.01272	-1.17726	-0.45197	-1.26523	-0.10415	-0.50874	-0.91788	-0.767	-0.43301	-0.21731	0.36319	0.49912	0.62145	0.16609	0.45371	0.07753	0.21894	-0.32393	-0.17773	0.4068	0.07648	-0.02252	0.22637	-0.08035	-0.94139	-0.71455	0.71925	0.32588	0.65166	-1.06491	-0.15616	0.33182	-0.44492	-0.9297	-0.6863	-0.24662	-0.21289	-0.0641	-0.37517	0.45693	0.66575	0.49231	0.129	-0.50095	0.34994	0.21783	-0.53151	0.23079	0.52828	0.35484	0.29681	-0.2245	-0.26619	0.43422	0.54999	0.39823	-0.10049	0.39889	0.66385	0.922	-0.63012	-0.34294	-0.17431	0.58714	-0.42025	0.98901	0.06636	0.47665	-0.00886	-0.00564	-0.44273	0.45657	-0.31675	0.36515	0.53255	0.05979	-0.18905	0.2987	-0.29859	0.26462	0.21238	0.08151	0.35659	-0.30299	-0.44942	0.33021	-0.08273	0.69543	0.67178	0.13286	-0.06143	0.18709	-0.04901	0.06387	0.35796	0.28724	-0.96663	0.23164	-0.33489	0.1293	-0.21969	0.02783	0.38325	0.61763	-0.20556	-0.02469	-1.22073	0.39117	0.12011	-0.28891	0.63205	-0.52488	-0.23344	-1.4303	-1.12723	-0.14485	0.46182	-1.17268	0.43931	0.43992	0.48174	0.22045	-0.52872	0.02362	-1.12239	0.38075	-0.26893	-0.06783	0.77215	-0.44636	-0.01756	-0.84223	-0.91328	-0.20066
EDN1	0.46557	1.09331	1.08181	0.32522	-0.22644	-0.26708	0.80353	-0.33647	-0.01541	-0.9972	-1.04871	0.74583	0.8455	-0.34848	-0.74209	-0.97191	-0.2591	-0.00885	-0.05479	-0.99615	-0.12458	0.96828	1.1188	-0.17439	-0.22854	1.36646	-0.36275	0.5179	-0.86423	1.97039	-0.37859	0.46475	0.02718	0.75592	0.00214	-0.25064	-1.0646	0.14903	-1.28751	0.69039	1.4411	0.11438	0.3206	-0.05185	1.91436	0.42887	-0.47021	0.54487	2.09741	-0.10495	0.38698	-0.10153	0.05424	-0.64645	-0.66861	0.57315	-0.60569	0.35078	-0.99471	0.51739	0.32884	-0.52276	1.71308	-0.6416	0.2032	1.50344	-0.08927	0.13525	0.87755	-0.60163	-0.65579	0.58643	-0.84671	-0.37012	-0.49462	0.29005	-0.52022	-0.23433	0.81152	0.3037	-0.65156	-0.14336	-0.26737	-0.71568	1.41345	-0.18708	0.60164	-0.26583	0.39473	0.43052	-0.47833	-0.53895	-0.74158	-0.68417	-0.46561	0.64496	0.86866	0.00194	-0.62015	0.34795	-0.36928	0.99691	-0.30124	0.52885	-0.43064	0.42893	-0.2768	-0.20464	0.82193	-0.46715	-0.52609	0.19514	-0.50168	-0.48901	-0.13808	-0.51627	0.03837	0.66866	-0.57077	-0.89939	-0.26267	-0.42394	1.49292	0.76744	0.70225	-0.27976	-0.26195	0.7777	-0.16593	0.98539	-0.09911	-1.088	-0.42043	-0.03242	-0.40171	0.08309	0.29964	-0.44863	-0.46831	-0.59108	-0.44886	-0.50801	-0.32269	-0.0957	-0.44284	0.37798	0.50032	0.27431	-0.66003	1.46618	0.40582	-1.22576	0.73573	0.19163	-0.39214	-0.49662	-0.20061	0.89803	0.87612	-0.9056	-0.21402	-0.73768	-0.83484	0.41283	0.35625	-0.53075	-0.03043	0.00278	0.51065	-0.32682	0.84495	-0.04775	-0.75465	-0.62283	-0.5936	-0.24543	-0.87954	-0.45111	0.51944	-0.48661	-0.97447	-0.99427	-0.26294	0.58592	0.06484	-0.3477	-0.43826	0.24578	-0.76503	-0.35512	0.2829	-0.28761	-1.05892	-0.44259	-0.10279	0.21318	-0.22226	0.93252	0.40135	1.44868	-0.03203	-0.16529
CXCR4	0.30278	1.75507	-0.0379	0.38593	1.43145	0.3817	-0.54267	-1.62847	-1.72344	-3.0421	0.45232	-1.06394	0.1691	0.47361	-1.81867	1.91293	-0.94292	0.26893	-0.87673	1.51664	0.35964	0.90002	0.77535	-0.37181	0.06885	0.53612	0.98367	-1.04003	0.88808	1.30081	0.10287	1.98084	1.45543	-0.47706	1.73893	0.65273	0.77192	0.83923	-0.86409	1.44032	1.01322	0.1994	1.17704	0.35373	-1.02336	0.41758	0.42996	0.86537	1.22531	0.07838	1.04745	1.12916	0.17854	-1.77324	-0.35858	2.1587	1.19765	0.32846	-1.80476	-0.77838	-1.2279	-0.59096	-1.11864	1.36591	-1.40372	0.20792	-0.57811	-0.01698	-1.80442	0.26424	-1.28596	-0.73948	0.25156	-0.70044	-1.74213	0.40673	-1.02868	-1.21056	-0.1259	0.3872	-1.52142	0.34532	-0.53457	-0.71725	0.00899	-0.20193	0.34117	-0.01214	-0.74453	-0.53617	-0.56474	-1.46692	1.34297	0.17882	-0.02742	0.22878	1.05972	1.31332	0.31476	-0.25337	-1.35925	1.29012	0.13329	0.53928	0.11192	1.23905	0.13106	-0.0668	0.79966	-1.11351	-1.05072	1.02276	-0.46672	-1.65151	0.49364	0.0063	0.42841	0.09485	0.68125	1.84728	-0.92426	-0.63698	-0.13768	0.54899	1.87889	-0.86244	0.04824	0.66618	0.97571	1.7717	0.49836	0.39199	0.97194	0.52039	0.96703	-0.55183	0.13294	-0.02048	-0.96958	-0.08984	-0.36831	-0.93144	-1.09494	-0.02795	0.35778	1.17432	1.14206	-1.23945	0.13989	-1.37483	-0.09273	0.66378	0.41264	0.03061	-0.21496	-1.17758	-0.28351	0.22284	-1.34476	-0.35166	1.19886	-0.60274	-0.62166	-0.20297	-0.4985	-1.89134	0.08377	-0.39423	0.47422	-1.41609	1.06416	-0.02964	-1.06932	0.3294	0.30796	-0.73794	0.95224	-1.56289	0.52135	-0.86271	0.16542	-0.33961	0.51151	0.35463	0.05051	1.10977	1.52094	-2.57478	-2.12556	-0.35074	0.48975	-0.39783	1.4548	-2.59088	0.47476	-0.04011	-0.34564	-1.12494	-0.09829	0.04984	0.94419	0.54874
SALL1	0.76869	0.05737	0.00452	-2.42621	-0.38401	-0.47289	0.19177	1.26128	0.46225	-0.14222	0.74556	-0.43771	0.45267	0.35652	0.52414	-3.03857	-0.46589	0.59518	0.92807	-0.42478	-1.43184	0.64033	0.45189	-0.63373	1.40093	0.31051	-0.18021	0.93134	-1.00604	-1.79943	-0.23767	-1.63096	-0.03765	-0.03199	-0.69492	-0.87716	-0.82682	0.2518	1.39115	0.67948	0.67204	-1.29605	-0.12921	-0.41531	-1.00358	0.18369	-0.90441	-0.02734	0.11458	-0.01993	-0.02899	0.31671	0.43974	-0.54497	0.79778	-1.59204	-0.46102	0.4116	0.49405	0.18048	-0.07747	0.97745	-0.05752	0.76964	0.49821	0.47982	0.80708	-0.3381	1.18986	-1.98788	-1.66742	-1.64089	0.15069	0.16107	0.25459	-1.07257	0.54995	0.05478	1.25772	1.14772	-0.27783	-0.57209	0.01517	-0.21435	0.63332	0.54737	0.44688	0.55919	0.11616	-0.05134	-0.51951	0.81552	-0.83854	-0.41815	-0.09024	1.16947	0.44624	-1.15308	0.16537	1.29137	-0.27214	-0.1722	0.97389	0.16252	-0.4742	-0.21904	-1.41864	0.80861	1.14095	-1.0909	-0.67396	-0.0332	0.50558	-1.16937	-0.27837	-0.38544	0.55415	0.76472	-0.01411	-0.39941	-2.12266	-0.79929	-0.4545	0.61788	0.96657	0.33742	0.97534	0.02135	-0.79595	0.16926	-0.33246	0.21192	-0.31142	0.45561	0.6082	1.32005	0.23998	-1.06844	-0.55942	-0.04453	-1.21602	-0.5527	-0.24988	0.63852	0.87353	0.53162	0.15604	0.55069	0.20096	0.79781	-0.42685	-0.07372	-0.10393	0.28434	-1.49372	0.29197	2.05523	0.35828	-1.13555	0.06381	0.22804	0.63303	-0.86198	-0.2609	-1.16888	-0.02916	0.44461	0.46254	-0.0459	-0.62471	0.57974	0.86888	0.82904	0.12607	-0.87101	1.37266	0.19139	1.07053	0.36748	-0.33663	-0.06553	-1.76824	-0.3454	0.44086	1.26995	-0.72285	1.83414	1.63422	1.42385	0.42809	-1.67798	1.04265	0.18694	0.30529	0.28952	0.98658	0.48266	-0.79869	-0.04869	-1.45747	-1.07624	-0.57349
MMP7	0.55745	0.76193	-0.04971	1.51797	1.58288	-1.6433	1.28225	1.77345	-1.76488	-1.86157	2.69342	-1.96718	-1.47079	-1.40518	-0.13406	1.59523	2.3179	-2.00309	-1.18544	3.17085	0.17177	1.67727	0.38078	4.86949	-0.46186	-1.89019	-0.21329	-2.17691	0.01166	0.18276	2.43371	4.17049	-0.88659	0.45623	-0.38942	-1.74021	3.54614	1.06622	-2.30449	1.18183	3.11703	-1.42237	0.74703	-0.37061	-1.42353	0.29613	1.18265	-0.55056	0.03253	-1.81034	-1.10352	-0.04389	3.01667	1.60962	0.28657	2.67387	1.54685	-1.77917	1.4563	0.00792	-1.8582	2.19859	-1.67043	0.1239	-1.506	0.76546	-1.66664	0.26782	-0.81148	-0.12424	-1.43367	-0.57583	1.77779	-1.0898	0.17407	0.93014	-0.74012	-1.8412	-1.37409	-0.99827	-1.2864	-1.42165	1.1611	1.80312	1.27105	-0.0889	4.8014	-1.37092	-1.81356	-2.02833	-1.30679	-1.72036	0.78362	-0.16338	-1.56933	-1.60882	-0.29818	4.33171	0.25635	1.7088	-1.33011	1.19157	-1.13243	-0.09586	-0.35999	5.04011	1.35003	-0.90704	-1.79505	-1.6716	-0.6196	2.10797	0.02577	-1.60443	3.13466	-1.34879	-0.17323	-0.98802	5.25633	1.51311	0.5755	2.44263	1.46367	1.03469	-0.57745	-1.40585	-1.29109	-1.02948	0.7964	2.8613	0.56569	-1.59659	3.16815	-0.79601	0.55668	-1.08673	-0.86485	-1.13443	-0.09048	-1.50813	0.04236	-1.47683	-0.42261	1.24275	-0.77704	-1.49177	3.90693	0.44684	1.45057	-0.07009	0.36554	0.1948	3.1789	0.11456	-0.039	0.06297	-1.35966	-1.76907	-1.46217	-1.09476	-0.83138	-1.63924	-0.72128	0.95167	-0.05113	-1.24284	0.04432	-1.44475	-0.14265	-1.90602	-1.65818	-0.35075	-1.46361	-0.62904	-0.3692	-1.57525	-0.25815	-1.50775	-1.6321	-1.71066	0.40319	4.02688	0.76286	-0.57512	-0.83559	1.20123	-1.08609	-0.39636	0.74778	-2.23491	-1.02606	0.11579	0.49885	-1.70484	0.2616	-1.72058	-1.58339	-1.47873	-1.19919	-0.47329	0.68311	-0.28043
C9orf45	-0.18327	-0.10959	0.08011	-0.49697	-0.40747	0.22375	0.35195	1.08822	0.46634	0.10403	0.25036	0.2475	-0.41859	-0.01162	1.23427	0.19527	1.02079	0.41746	0.40238	-0.32357	-0.14929	-0.17506	-0.43025	0.03845	0.13637	0.22169	0.30651	0.1895	-0.66636	-0.37871	-0.10832	-0.33636	-0.21384	0.48817	-0.12722	0.92071	-0.72537	-0.17291	0.63824	-0.21452	0.08621	0.87028	-0.35667	0.33418	0.1515	-1.16264	0.46317	0.13623	-0.4217	1.05124	-0.86772	-0.09177	0.14953	0.36737	-1.36743	-0.70785	-0.62077	-0.8081	-0.34789	-0.70642	0.39877	0.29679	0.37898	-0.43284	1.47632	-0.28244	-0.12165	-0.85457	-0.16862	0.68609	1.40802	0.70917	0.94404	0.24186	0.23104	-0.20493	0.60718	0.94956	-0.49339	-0.21033	0.95034	0.41484	0.78835	0.52937	-0.27343	-0.21196	-0.75587	0.10953	0.30006	0.6829	-0.30242	0.4468	-0.5998	-0.03685	-0.78918	-0.15381	-0.1454	-1.25319	0.33644	-0.47864	0.71927	-1.34576	-0.90971	-0.2242	0.33988	-0.49941	0.42152	0.15764	0.40021	1.77945	-0.55246	-0.63778	0.39328	1.36162	-0.20519	-0.42732	-0.08575	0.1396	0.21701	0.0388	0.71357	-0.57641	-0.71188	-0.75086	-0.92505	-0.35256	-0.42783	0.63697	-0.80786	-0.42406	-0.30809	0.14141	-0.77884	-1.31671	-1.12525	-0.55135	-0.1092	-0.28377	-0.3972	-0.5647	0.23086	0.0554	0.33001	-0.40197	-0.06338	-0.29535	-0.17645	0.36391	-0.87739	1.16572	-0.01324	-0.57576	-0.10353	0.32602	0.95912	-0.13717	0.43337	-0.2364	0.28876	0.09567	-0.02706	0.09556	0.4897	0.21499	0.08584	0.62861	-0.03148	-0.10726	-0.12782	0.16021	-0.47386	-0.05338	-0.79403	1.25259	0.15574	-0.29282	1.04588	0.23207	0.15066	0.16362	-0.17938	-0.11307	-0.03085	-1.05687	-0.06713	-0.12363	0.04629	0.3962	-0.37159	-0.40403	0.19077	0.34354	-0.56101	0.56943	-0.21259	-0.42459	-0.59677	-0.22302	0.35622	1.28795	0.33208	-0.09554
